regionidcity_fill,total_low_hours,min_temp,total_high_hours,max_temp,latitude,longitude
3491.0,508,38.99,2.0,104.51,33.34334805204461,-118.32733897304833
3980.0,545,39.98,4.0,94.96,34.374719666666664,-119.4747985
4406.0,502,40.07,20.0,103.97,33.93877053213633,-118.13105076484928
5465.0,509,38.95,21.0,106.1,33.906223810726715,-118.00635957033855
5534.0,541,26.74,126.0,105.12,34.68328650092625,-118.14387148160739
6021.0,509,39.19,30.0,106.72,34.052078753944066,-118.12996093526982
6285.0,511,39.86,10.0,100.11,33.39293742105263,-117.59410715789473
6395.0,503,40.2,11.0,101.69,33.897039846114254,-118.16262746783325
6822.0,526,38.39,4.0,96.61,33.76050814212548,-118.34610806274007
8384.0,502,40.12,11.0,100.75,33.70976834429436,-117.9528232128843
9840.0,514,36.35,25.0,102.81,34.14957289123906,-118.76279025525525
10241.0,507,39.46,43.0,106.76,34.08421760499038,-117.9703301386791
10389.0,505,40.34,27.0,105.65,34.07340360161348,-118.39714480685727
10608.0,499,40.26,16.0,99.52,33.85319646970885,-118.00539658291639
10723.0,501,40.98,8.0,96.97,33.83648031452848,-118.26342536778147
10734.0,549,33.7,49.0,104.51,34.476003238460365,-118.63271636068087
10774.0,501,40.27,18.0,99.66,33.866411851620306,-118.06553026097218
10815.0,519,37.34,42.0,105.61,34.02150583636364,-117.76340823636363
11626.0,515,38.29,41.0,105.87,34.129653605502135,-117.85535851949786
12292.0,503,40.14,9.0,98.8,33.847784275201874,-118.11907074824173
12447.0,520,37.52,25.0,103.22,34.10709370444559,-118.39895184430321
12520.0,496,37.99,17.0,104.03,34.03763737280643,-118.75656541446752
12773.0,517,36.87,19.0,100.8,33.61481297173449,-117.65274657923584
13091.0,599,34.6,18.0,103.24,34.44306386692543,-119.2614367327419
13150.0,516,36.87,3.0,91.25,34.194409052075414,-119.18479175083111
13232.0,560,28.35,32.0,99.43,34.48461235285913,-117.89990764993027
13311.0,550,32.75,35.0,105.82,34.41579007692308,-118.7932865
13693.0,512,37.99,3.0,102.43,33.444968837333334,-117.6142395753212
13716.0,503,39.79,21.0,104.39,33.945394681580325,-118.0822623246991
14111.0,508,39.07,39.0,107.74,34.101513539283744,-118.0544544892562
14542.0,509,39.25,40.0,105.43,34.053242093208176,-117.91488629192041
14634.0,509,39.01,26.0,105.41,33.96433377813074,-118.02190482667395
14906.0,517,37.46,42.0,106.62,34.14876969647059,-117.96821484470588
15237.0,501,40.25,13.0,97.69,33.8479357182641,-118.04299589579949
15554.0,518,37.12,15.0,100.26,33.630572576353934,-117.6057726013671
16389.0,547,34.57,12.0,98.31,33.72785210394737,-117.6227109013158
16677.0,565,27.92,44.0,101.78,34.48866015570008,-118.18867757192042
16764.0,496,40.43,21.0,101.34,33.83623038633285,-117.88260668029703
16961.0,502,40.12,20.0,104.61,33.96769340707964,-118.1538909557522
17150.0,505,39.14,25.0,102.78,33.92511787287125,-117.8872799733481
17597.0,513,35.82,14.0,100.9,33.59333904118852,-117.58512823545082
17686.0,514,37.1,10.0,102.65,33.47747308967001,-117.70198142436975
17882.0,506,39.76,27.0,106.28,34.03119258972915,-118.16756004128355
18098.0,553,33.32,29.0,106.26,34.40168753352769,-118.91022231725417
18874.0,499,39.15,29.0,103.58,33.92840548491223,-117.95131319149863
18875.0,514,38.27,19.0,102.19,33.95655183719758,-117.95419194606856
19177.0,507,41.76,9.0,100.66,33.88996214046017,-118.39986912908049
19202.0,811,17.81,3.0,91.13,34.72739845833333,-119.13568904166667
20008.0,519,36.75,61.0,108.77,34.06087751368363,-117.75540687250273
21412.0,485,38.13,36.0,107.31,33.887515149366195,-117.78596104445528
21778.0,503,40.15,13.0,97.46,33.829220329184544,-118.07215696480687
22827.0,510,38.83,28.0,103.51,33.981209570292705,-117.89061714888598
24174.0,504,39.92,8.0,101.28,33.8966753458992,-118.22688911102375
24245.0,512,38.79,50.0,106.71,34.09281507851952,-117.88458910235767
24384.0,517,37.77,34.0,103.7,34.00258507113402,-117.81853335819015
24435.0,513,38.47,49.0,106.73,34.14004717369278,-117.9598694405645
24797.0,769,20.11,6.0,93.51,34.75203123529412,-119.07461464705882
24812.0,503,39.71,23.0,101.68,33.88277949268679,-117.93091464353012
24832.0,501,39.71,14.0,98.91,33.77853208165931,-117.96051819902462
25218.0,509,39.53,6.0,100.21,33.69217642625366,-118.00068191856242
25271.0,509,39.28,45.0,106.86,34.10675561637931,-117.95949053304598
25458.0,508,37.88,18.0,104.69,33.59201838665774,-117.70039353045516
25459.0,510,38.67,13.0,102.55,33.529122088556356,-117.70178319598836
25468.0,569,23.58,32.0,101.53,34.672968987544486,-118.42497470284697
25535.0,592,22.19,19.0,95.45,34.76402369565217,-118.82379391304349
25621.0,558,28.16,35.0,98.62,34.48227134020618,-117.79388981271477
25953.0,504,39.5,28.0,106.49,34.017103343766486,-118.11144248549323
25974.0,533,35.02,23.0,101.73,34.27983984251514,-118.87595251072013
26483.0,500,39.76,27.0,105.38,33.98821761970176,-118.08800843135238
26531.0,496,39.33,28.0,103.33,33.88269436176108,-117.85438980241688
26964.0,498,41.29,13.0,107.38,34.02386057772471,-118.48321432121146
26965.0,560,36.76,9.0,98.91,34.354096765020635,-119.07477191392753
27103.0,513,39.75,7.0,96.19,33.79858441217064,-118.16482829705144
27110.0,566,34.58,35.0,106.06,34.27087605629296,-118.7370378695928
27183.0,516,38.86,30.0,107.81,34.10950304793498,-118.15664349228727
27491.0,497,40.03,19.0,102.55,33.73668863318679,-117.80679455106527
27512.0,524,36.43,59.0,105.66,34.097695916666666,-117.70316466666667
29189.0,547,29.57,58.0,101.72,34.54209042539094,-117.95661049509674
29712.0,512,41.8,7.0,101.09,33.865154839086294,-118.39570914856176
30187.0,525,36.03,39.0,104.53,34.19179133907179,-118.13816038832195
30267.0,501,40.3,17.0,99.91,33.86779945664415,-118.07950279842342
30399.0,503,40.2,20.0,104.75,33.97559086860696,-118.18606017603842
30908.0,526,36.27,57.0,105.26,34.11286903143498,-117.71944122218821
31134.0,502,40.2,18.0,104.46,33.96458149632653,-118.1855430187755
32380.0,510,39.41,20.0,101.1,33.65142451778322,-117.67861276523482
32616.0,504,39.79,10.0,102.79,33.922858229201104,-118.19911751404959
32753.0,502,40.21,20.0,105.1,33.98892376325345,-118.18735035766159
32923.0,512,37.95,49.0,109.2,34.144359707291265,-118.00169669218931
32927.0,521,36.96,61.0,106.12,34.08035387978142,-117.71031308196721
33252.0,499,39.73,19.0,102.18,33.80366503956684,-117.82516957670386
33311.0,521,39.92,7.0,101.31,33.78688483218204,-118.39593556623323
