regionidcity_fill,max_temp
3491.0,88.14
3980.0,85.96
4406.0,96.18
5465.0,97.29
5534.0,101.86
6021.0,96.55
6285.0,98.88
6395.0,93.74
6822.0,86.34
8384.0,96.85
9840.0,91.96
10241.0,100.92
10389.0,97.38
10608.0,95.72
10723.0,91.71
10734.0,98.65
10774.0,94.48
10815.0,100.94
11626.0,100.6
12292.0,92.59
12447.0,95.71
12520.0,88.01
12773.0,101.85
13091.0,95.64
13150.0,85.72
13232.0,97.19
13311.0,95.84
13693.0,98.44
13716.0,97.29
14111.0,99.46
14542.0,100.72
14634.0,98.29
14906.0,101.97
15237.0,93.51
15554.0,98.78
16389.0,96.63
16677.0,98.07
16764.0,97.71
16961.0,96.42
17150.0,98.67
17597.0,99.71
17686.0,98.5
17882.0,96.48
18098.0,96.74
18874.0,97.95
18875.0,97.18
19177.0,93.68
19202.0,87.63
20008.0,103.01
21395.0,86.51
21412.0,100.15
21778.0,92.46
22827.0,99.2
24174.0,91.42
24245.0,102.06
24384.0,100.08
24435.0,102.55
24797.0,91.18
24812.0,97.68
24832.0,96.59
25218.0,95.74
25271.0,102.07
25458.0,102.1
25459.0,98.12
25468.0,97.32
25535.0,93.97
25621.0,97.25
25953.0,96.05
25974.0,90.21
26483.0,97.34
26531.0,98.98
26964.0,96.3
26965.0,90.36
27103.0,91.57
27110.0,94.57
27183.0,99.08
27491.0,98.36
27512.0,101.86
29189.0,99.3
29712.0,93.35
30187.0,97.92
30267.0,94.4
30399.0,96.21
30908.0,101.38
31134.0,95.9
32380.0,99.29
32616.0,92.19
32753.0,96.34
32923.0,102.3
32927.0,102.59
33252.0,98.02
33311.0,87.94
33312.0,90.86
33612.0,91.89
33727.0,90.31
33836.0,101.3
33837.0,98.94
33840.0,99.53
34037.0,87.41
34278.0,88.22
34543.0,82.35
34636.0,100.1
34780.0,95.71
36078.0,85.54
36502.0,98.49
37015.0,102.2
37086.0,98.35
37688.0,94.44
37882.0,99.11
38032.0,97.25
38980.0,97.22
39076.0,95.77
39306.0,99.6
39308.0,101.75
40009.0,96.56
40081.0,98.52
40110.0,96.67
40227.0,100.59
40633.0,102.23
41484.0,96.42
41673.0,88.59
42091.0,94.79
42150.0,94.63
42967.0,94.81
44116.0,94.86
44833.0,93.12
45398.0,93.73
45457.0,98.02
45602.0,98.61
45888.0,95.17
46080.0,97.62
46098.0,101.0
46178.0,93.49
46298.0,91.79
46314.0,91.88
47019.0,100.92
47198.0,85.94
47547.0,100.4
47568.0,97.83
47695.0,100.76
47762.0,94.39
47913.0,94.19
48211.0,92.25
48424.0,97.68
50677.0,98.43
50749.0,101.29
51239.0,86.18
51617.0,96.23
51861.0,99.15
52650.0,97.05
52835.0,99.34
52842.0,99.56
53027.0,90.47
53162.0,96.32
53571.0,97.81
53636.0,96.18
53655.0,92.41
54053.0,93.82
54212.0,97.95
54299.0,98.94
54311.0,102.23
54352.0,92.98
54722.0,91.42
54970.0,98.26
55753.0,94.84
56780.0,96.0
113412.0,93.59
113576.0,99.03
114828.0,97.64
114834.0,99.87
116042.0,95.32
118217.0,99.57
118225.0,98.1
118694.0,100.0
118875.0,93.7
118878.0,91.19
118880.0,92.81
118895.0,99.73
118914.0,93.95
118994.0,93.23
272578.0,96.46
396053.0,95.38
396054.0,99.25
396550.0,94.88
396551.0,97.13
396556.0,97.81
