regionidcity_fill,total_low_hours
3491.0,508
3980.0,545
4406.0,502
5465.0,509
5534.0,541
6021.0,509
6285.0,511
6395.0,503
6822.0,526
8384.0,502
9840.0,514
10241.0,507
10389.0,505
10608.0,499
10723.0,501
10734.0,549
10774.0,501
10815.0,519
11626.0,515
12292.0,503
12447.0,520
12520.0,496
12773.0,517
13091.0,599
13150.0,516
13232.0,560
13311.0,550
13693.0,512
13716.0,503
14111.0,508
14542.0,509
14634.0,509
14906.0,517
15237.0,501
15554.0,518
16389.0,547
16677.0,565
16764.0,496
16961.0,502
17150.0,505
17597.0,513
17686.0,514
17882.0,506
18098.0,553
18874.0,499
18875.0,514
19177.0,507
19202.0,811
20008.0,519
21395.0,727
21412.0,485
21778.0,503
22827.0,510
24174.0,504
24245.0,512
24384.0,517
24435.0,513
24797.0,769
24812.0,503
24832.0,501
25218.0,509
25271.0,509
25458.0,508
25459.0,510
25468.0,569
25535.0,592
25621.0,558
25953.0,504
25974.0,533
26483.0,500
26531.0,496
26964.0,498
26965.0,560
27103.0,513
27110.0,566
27183.0,516
27491.0,497
27512.0,524
29189.0,547
29712.0,512
30187.0,525
30267.0,501
30399.0,503
30908.0,526
31134.0,502
32380.0,510
32616.0,504
32753.0,502
32923.0,512
32927.0,521
33252.0,499
33311.0,521
33312.0,516
33612.0,507
33727.0,526
33836.0,518
33837.0,502
33840.0,507
34037.0,526
34278.0,538
34543.0,550
34636.0,513
34780.0,505
36078.0,765
36502.0,503
37015.0,503
37086.0,511
37688.0,529
37882.0,507
38032.0,506
38980.0,513
39076.0,504
39306.0,508
39308.0,522
40009.0,515
40081.0,505
40110.0,580
40227.0,542
40633.0,546
41484.0,504
41673.0,543
42091.0,557
42150.0,501
42967.0,503
44116.0,503
44833.0,503
45398.0,501
45457.0,535
45602.0,509
45888.0,505
46080.0,528
46098.0,509
46178.0,504
46298.0,510
46314.0,505
47019.0,526
47198.0,507
47547.0,516
47568.0,496
47695.0,521
47762.0,502
47913.0,509
48211.0,651
48424.0,508
50677.0,511
50749.0,509
51239.0,510
51617.0,502
51861.0,507
52650.0,500
52835.0,511
52842.0,509
53027.0,508
53162.0,499
53571.0,504
53636.0,503
53655.0,537
54053.0,525
54212.0,507
54299.0,514
54311.0,522
54352.0,505
54722.0,505
54970.0,504
55753.0,505
56780.0,520
113412.0,502
113576.0,504
114828.0,504
114834.0,511
116042.0,511
118217.0,512
118225.0,503
118694.0,507
118875.0,506
118878.0,506
118880.0,502
118895.0,506
118914.0,508
118994.0,505
272578.0,500
396053.0,504
396054.0,513
396550.0,519
396551.0,537
396556.0,501
